guests,nights,meal_plan,room_type,lead_time,year,month,market,room_price,status
2,5,Meal Plan 1,Room_Type 4,128,2018,10,Online,132.3,Canceled
2,2,Not Selected,Room_Type 1,20,2018,12,Online,88.0,Not Canceled
2,5,Meal Plan 1,Room_Type 4,40,2018,3,Online,98.82,Not Canceled
2,3,Meal Plan 1,Room_Type 4,46,2018,3,Online,98.3,Not Canceled
1,1,Meal Plan 1,Room_Type 1,1,2018,10,Online,150.0,Not Canceled
2,5,Not Selected,Room_Type 1,196,2018,9,Online,96.05,Not Canceled
1,2,Meal Plan 1,Room_Type 1,188,2018,6,Online,130.0,Canceled
2,1,Not Selected,Room_Type 1,17,2018,12,Online,95.0,Not Canceled
2,3,Meal Plan 1,Room_Type 5,146,2018,8,Offline,113.56,Not Canceled
2,4,Not Selected,Room_Type 1,110,2018,5,Online,101.58,Not Canceled
2,3,Meal Plan 1,Room_Type 1,68,2018,3,Online,105.3,Not Canceled
2,3,Meal Plan 1,Room_Type 4,73,2018,4,Online,115.8,Not Canceled
2,1,Meal Plan 1,Room_Type 4,92,2018,5,Online,149.4,Not Canceled
2,7,Meal Plan 1,Room_Type 1,171,2018,8,Online,111.59,Canceled
3,2,Meal Plan 1,Room_Type 1,134,2018,8,Online,130.5,Not Canceled
2,2,Meal Plan 2,Room_Type 1,320,2018,8,Online,115.0,Canceled
2,4,Meal Plan 1,Room_Type 1,118,2018,4,Online,90.95,Not Canceled
2,3,Meal Plan 1,Room_Type 1,30,2018,11,Online,76.08,Not Canceled
4,4,Meal Plan 1,Room_Type 6,30,2018,12,Online,156.9,Not Canceled
2,1,Not Selected,Room_Type 1,189,2018,10,Online,85.5,Not Canceled
3,3,Meal Plan 1,Room_Type 4,55,2018,5,Online,159.3,Not Canceled
1,4,Meal Plan 1,Room_Type 1,55,2018,12,Online,74.8,Not Canceled
2,1,Meal Plan 1,Room_Type 1,16,2017,10,Online,95.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,24,2017,10,Online,107.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,8,2018,2,Offline,64.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,10,2017,11,Online,82.95,Not Canceled
2,4,Meal Plan 1,Room_Type 4,0,2017,9,Online,155.0,Not Canceled
2,1,Not Selected,Room_Type 1,12,2018,6,Online,101.68,Not Canceled
2,3,Meal Plan 1,Room_Type 1,32,2017,9,Online,94.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,182,2018,9,Online,117.9,Canceled
2,1,Not Selected,Room_Type 1,1,2018,6,Online,127.0,Not Canceled
2,3,Not Selected,Room_Type 1,122,2018,6,Online,116.1,Not Canceled
2,5,Meal Plan 1,Room_Type 1,40,2018,6,Online,117.9,Not Canceled
4,4,Meal Plan 1,Room_Type 2,116,2018,6,Online,184.24,Canceled
3,4,Meal Plan 1,Room_Type 4,123,2018,8,Online,155.7,Not Canceled
3,7,Meal Plan 1,Room_Type 4,40,2018,4,Online,135.76,Canceled
3,7,Meal Plan 1,Room_Type 1,105,2018,11,Online,102.83,Not Canceled
2,1,Meal Plan 1,Room_Type 1,443,2018,4,Online,65.0,Canceled
2,5,Meal Plan 1,Room_Type 1,2,2017,11,Online,103.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,317,2018,9,Online,106.2,Canceled
2,2,Meal Plan 2,Room_Type 1,286,2018,9,Offline,58.5,Not Canceled
2,4,Meal Plan 1,Room_Type 1,68,2018,3,Online,73.95,Canceled
2,3,Meal Plan 1,Room_Type 1,148,2018,5,Online,105.3,Not Canceled
3,2,Meal Plan 1,Room_Type 4,68,2018,4,Online,133.2,Not Canceled
2,2,Meal Plan 1,Room_Type 1,30,2018,3,Offline,85.5,Not Canceled
1,1,Meal Plan 1,Room_Type 1,14,2018,11,Online,112.0,Canceled
4,2,Meal Plan 1,Room_Type 6,110,2018,10,Online,190.8,Canceled
1,5,Meal Plan 1,Room_Type 1,117,2018,6,Offline,110.0,Not Canceled
2,5,Meal Plan 1,Room_Type 4,85,2018,7,Online,91.48,Not Canceled
2,2,Not Selected,Room_Type 1,1,2018,10,Online,135.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,25,2018,10,Online,129.0,Not Canceled
2,6,Not Selected,Room_Type 1,289,2018,12,Online,70.55,Canceled
2,5,Meal Plan 1,Room_Type 4,28,2017,10,Offline,75.0,Not Canceled
1,4,Not Selected,Room_Type 1,80,2018,3,Online,72.25,Not Canceled
2,1,Meal Plan 1,Room_Type 4,11,2017,10,Online,155.0,Not Canceled
3,1,Meal Plan 1,Room_Type 1,162,2018,7,Online,121.5,Canceled
2,7,Meal Plan 1,Room_Type 1,155,2018,6,Online,90.95,Not Canceled
1,4,Meal Plan 1,Room_Type 1,82,2018,5,Online,109.65,Not Canceled
3,6,Meal Plan 1,Room_Type 4,27,2018,4,Online,142.72,Canceled
1,3,Meal Plan 1,Room_Type 1,13,2018,5,Offline,90.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,245,2018,6,Online,75.0,Canceled
2,2,Meal Plan 1,Room_Type 1,11,2018,11,Online,111.0,Canceled
2,4,Meal Plan 1,Room_Type 1,266,2018,10,Online,86.7,Not Canceled
2,1,Meal Plan 1,Room_Type 1,39,2018,3,Online,117.9,Not Canceled
1,2,Meal Plan 1,Room_Type 1,13,2018,6,Complementary,0.0,Not Canceled
2,4,Not Selected,Room_Type 1,112,2018,5,Online,101.58,Not Canceled
2,3,Not Selected,Room_Type 1,88,2018,4,Online,58.9,Not Canceled
2,1,Meal Plan 1,Room_Type 1,56,2018,6,Offline,120.0,Not Canceled
2,5,Meal Plan 1,Room_Type 4,73,2018,4,Online,107.1,Canceled
2,2,Meal Plan 1,Room_Type 1,80,2018,5,Online,126.9,Not Canceled
2,3,Meal Plan 1,Room_Type 4,130,2018,9,Online,139.5,Canceled
2,4,Not Selected,Room_Type 1,69,2018,4,Online,80.75,Not Canceled
2,2,Meal Plan 2,Room_Type 1,273,2017,7,Online,109.0,Canceled
2,1,Meal Plan 2,Room_Type 1,55,2018,4,Offline,104.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,4,2018,11,Corporate,65.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,97,2018,5,Online,140.4,Not Canceled
2,3,Meal Plan 1,Room_Type 1,44,2018,2,Offline,75.0,Not Canceled
2,1,Not Selected,Room_Type 1,31,2018,4,Online,94.5,Canceled
2,1,Not Selected,Room_Type 1,0,2018,6,Online,109.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,62,2018,11,Online,105.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,86,2018,4,Online,107.95,Not Canceled
3,4,Meal Plan 1,Room_Type 7,3,2018,10,Online,215.6,Not Canceled
2,2,Not Selected,Room_Type 1,197,2018,8,Online,85.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,143,2018,7,Online,105.3,Not Canceled
1,3,Meal Plan 2,Room_Type 1,23,2018,1,Online,1.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,8,2018,6,Online,156.0,Canceled
1,2,Meal Plan 1,Room_Type 1,13,2018,11,Online,73.15,Not Canceled
2,3,Meal Plan 1,Room_Type 1,280,2018,9,Online,110.0,Canceled
3,1,Not Selected,Room_Type 1,11,2017,9,Online,87.4,Not Canceled
2,2,Meal Plan 1,Room_Type 1,317,2018,9,Online,120.0,Canceled
2,3,Not Selected,Room_Type 1,185,2018,12,Online,79.2,Canceled
2,4,Meal Plan 1,Room_Type 1,160,2018,6,Online,90.95,Not Canceled
2,4,Meal Plan 1,Room_Type 1,104,2018,10,Online,91.48,Not Canceled
3,1,Meal Plan 1,Room_Type 1,11,2018,11,Online,150.0,Canceled
2,1,Not Selected,Room_Type 1,2,2018,3,Online,89.0,Not Canceled
2,5,Not Selected,Room_Type 1,14,2018,8,Online,91.43,Not Canceled
2,2,Meal Plan 1,Room_Type 1,22,2018,5,Offline,140.0,Not Canceled
2,7,Not Selected,Room_Type 1,37,2017,10,Online,87.78,Not Canceled
2,2,Meal Plan 2,Room_Type 1,292,2018,7,Online,115.0,Canceled
2,3,Meal Plan 1,Room_Type 1,11,2017,9,Online,80.85,Not Canceled
2,4,Meal Plan 1,Room_Type 1,86,2018,3,Online,82.45,Not Canceled
2,1,Not Selected,Room_Type 1,109,2018,10,Online,108.0,Canceled
2,2,Meal Plan 1,Room_Type 4,72,2018,4,Online,96.3,Not Canceled
2,6,Meal Plan 1,Room_Type 1,196,2018,8,Online,99.45,Canceled
2,2,Meal Plan 1,Room_Type 4,56,2018,5,Online,140.4,Not Canceled
2,4,Meal Plan 1,Room_Type 1,189,2018,8,Offline,72.25,Not Canceled
2,5,Meal Plan 1,Room_Type 4,126,2018,8,Online,126.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,303,2018,8,Online,78.0,Canceled
1,4,Meal Plan 1,Room_Type 4,81,2018,11,Online,146.6,Not Canceled
2,3,Meal Plan 1,Room_Type 1,54,2018,10,Online,118.8,Canceled
1,1,Meal Plan 1,Room_Type 1,15,2018,10,Online,145.0,Canceled
2,4,Meal Plan 1,Room_Type 1,86,2018,4,Online,84.58,Canceled
2,3,Meal Plan 2,Room_Type 1,161,2018,3,Online,130.0,Canceled
2,14,Meal Plan 1,Room_Type 4,147,2018,8,Online,118.88,Canceled
2,3,Meal Plan 1,Room_Type 1,92,2018,5,Offline,101.52,Not Canceled
2,1,Meal Plan 1,Room_Type 1,87,2017,9,Corporate,100.0,Canceled
2,3,Meal Plan 1,Room_Type 1,109,2018,3,Offline,58.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,127,2018,3,Offline,61.5,Not Canceled
2,3,Meal Plan 2,Room_Type 1,418,2018,9,Online,107.0,Canceled
2,5,Not Selected,Room_Type 1,156,2018,8,Online,87.3,Not Canceled
2,2,Meal Plan 1,Room_Type 1,80,2017,7,Online,76.5,Canceled
2,4,Not Selected,Room_Type 1,211,2018,12,Online,63.75,Canceled
2,3,Meal Plan 1,Room_Type 1,273,2018,5,Online,95.0,Canceled
2,3,Meal Plan 1,Room_Type 1,58,2018,11,Offline,75.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,433,2018,9,Online,70.0,Canceled
2,4,Meal Plan 1,Room_Type 1,111,2018,5,Online,101.58,Not Canceled
2,5,Meal Plan 1,Room_Type 1,34,2018,8,Offline,85.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,17,2018,12,Online,98.39,Not Canceled
1,0,Meal Plan 1,Room_Type 1,4,2018,2,Complementary,0.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,6,2017,9,Online,106.07,Not Canceled
2,2,Meal Plan 1,Room_Type 1,32,2018,7,Offline,105.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,4,2017,9,Online,145.0,Not Canceled
3,3,Meal Plan 1,Room_Type 1,195,2018,8,Online,106.03,Canceled
2,4,Meal Plan 1,Room_Type 1,119,2018,8,Online,114.3,Not Canceled
1,2,Not Selected,Room_Type 1,13,2018,12,Online,88.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,59,2017,10,Online,89.25,Not Canceled
3,7,Meal Plan 1,Room_Type 4,78,2018,3,Online,86.32,Not Canceled
2,3,Meal Plan 1,Room_Type 1,335,2018,10,Offline,90.0,Not Canceled
2,7,Meal Plan 1,Room_Type 1,103,2017,8,Online,55.96,Not Canceled
1,2,Not Selected,Room_Type 1,0,2018,6,Online,109.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,118,2018,3,Offline,86.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,56,2018,9,Online,118.95,Not Canceled
2,2,Meal Plan 1,Room_Type 1,107,2018,6,Offline,130.0,Not Canceled
2,4,Not Selected,Room_Type 1,70,2018,4,Online,90.56,Not Canceled
2,2,Meal Plan 1,Room_Type 1,76,2018,4,Online,87.3,Not Canceled
4,4,Meal Plan 1,Room_Type 6,144,2018,5,Online,177.65,Canceled
3,4,Meal Plan 1,Room_Type 6,4,2017,9,Online,200.75,Not Canceled
3,2,Meal Plan 1,Room_Type 1,15,2018,3,Online,127.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,32,2018,2,Online,72.9,Canceled
3,2,Meal Plan 1,Room_Type 4,49,2018,5,Online,159.3,Canceled
3,4,Meal Plan 1,Room_Type 1,77,2018,5,Online,135.15,Not Canceled
1,2,Meal Plan 1,Room_Type 1,22,2018,10,Offline,90.0,Not Canceled
2,1,Not Selected,Room_Type 1,0,2017,10,Online,114.0,Not Canceled
3,1,Meal Plan 1,Room_Type 1,58,2018,6,Online,125.1,Not Canceled
2,8,Not Selected,Room_Type 1,4,2017,8,Online,95.13,Not Canceled
2,2,Meal Plan 1,Room_Type 5,117,2018,4,Online,105.84,Canceled
2,4,Meal Plan 1,Room_Type 1,36,2018,12,Online,102.0,Canceled
2,4,Not Selected,Room_Type 1,35,2018,12,Online,74.8,Not Canceled
2,1,Not Selected,Room_Type 1,31,2018,4,Online,94.5,Canceled
2,6,Not Selected,Room_Type 1,79,2018,6,Online,120.6,Not Canceled
2,3,Meal Plan 1,Room_Type 1,1,2017,10,Online,139.33,Not Canceled
2,2,Meal Plan 1,Room_Type 1,21,2017,9,Online,105.0,Not Canceled
2,2,Not Selected,Room_Type 1,12,2018,9,Corporate,100.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,33,2018,2,Online,80.3,Not Canceled
1,2,Meal Plan 1,Room_Type 1,164,2017,10,Offline,100.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,78,2018,3,Online,105.3,Not Canceled
2,4,Meal Plan 1,Room_Type 4,18,2018,5,Online,112.8,Canceled
2,3,Meal Plan 1,Room_Type 1,21,2018,8,Online,151.0,Canceled
1,4,Meal Plan 1,Room_Type 1,0,2017,11,Online,91.0,Not Canceled
3,3,Meal Plan 1,Room_Type 4,152,2018,8,Online,146.7,Canceled
2,5,Meal Plan 1,Room_Type 1,43,2017,10,Offline,58.4,Not Canceled
2,4,Not Selected,Room_Type 1,177,2018,7,Online,80.75,Canceled
2,2,Not Selected,Room_Type 1,47,2018,5,Offline,76.5,Not Canceled
3,3,Meal Plan 1,Room_Type 4,57,2018,9,Online,140.13,Not Canceled
2,6,Not Selected,Room_Type 1,60,2017,11,Online,76.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,0,2017,9,Online,200.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,102,2017,10,Online,101.5,Canceled
2,3,Not Selected,Room_Type 1,71,2018,10,Online,108.0,Not Canceled
3,5,Meal Plan 2,Room_Type 4,111,2018,7,Online,189.0,Not Canceled
3,2,Meal Plan 1,Room_Type 4,1,2018,6,Online,166.0,Not Canceled
2,2,Not Selected,Room_Type 1,4,2018,1,Online,67.5,Not Canceled
2,4,Meal Plan 1,Room_Type 4,25,2017,9,Online,78.54,Not Canceled
1,4,Meal Plan 1,Room_Type 1,209,2018,11,Online,152.1,Canceled
1,3,Meal Plan 1,Room_Type 1,93,2018,10,Online,115.0,Canceled
2,7,Not Selected,Room_Type 1,53,2017,9,Online,66.53,Not Canceled
1,2,Meal Plan 1,Room_Type 1,1,2017,8,Complementary,0.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,4,2017,8,Complementary,0.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,302,2018,12,Online,90.3,Canceled
2,2,Meal Plan 1,Room_Type 1,122,2018,4,Offline,85.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,16,2018,3,Corporate,75.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,28,2018,8,Online,115.37,Canceled
2,3,Meal Plan 2,Room_Type 1,161,2018,3,Online,130.0,Canceled
3,2,Meal Plan 1,Room_Type 4,57,2018,12,Online,126.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,19,2018,6,Online,94.35,Not Canceled
3,6,Meal Plan 1,Room_Type 4,109,2018,7,Online,118.46,Not Canceled
1,2,Meal Plan 2,Room_Type 1,239,2018,6,Online,90.6,Canceled
1,3,Meal Plan 1,Room_Type 1,33,2018,3,Online,82.9,Not Canceled
2,3,Meal Plan 1,Room_Type 1,11,2017,8,Online,95.33,Not Canceled
3,7,Meal Plan 1,Room_Type 4,40,2018,4,Online,135.64,Not Canceled
3,2,Meal Plan 1,Room_Type 4,45,2018,6,Offline,122.4,Not Canceled
2,4,Not Selected,Room_Type 1,41,2018,5,Online,116.1,Canceled
2,4,Not Selected,Room_Type 1,167,2018,6,Online,62.18,Canceled
2,4,Not Selected,Room_Type 1,62,2018,3,Online,63.75,Canceled
1,5,Meal Plan 1,Room_Type 1,113,2018,9,Online,118.8,Canceled
2,2,Not Selected,Room_Type 1,1,2018,8,Online,167.0,Not Canceled
4,4,Meal Plan 1,Room_Type 6,84,2018,5,Online,187.85,Not Canceled
2,4,Meal Plan 1,Room_Type 1,68,2018,4,Online,108.38,Canceled
2,1,Meal Plan 1,Room_Type 2,9,2018,9,Complementary,0.0,Not Canceled
3,3,Meal Plan 1,Room_Type 1,245,2018,10,Online,128.7,Canceled
2,4,Meal Plan 1,Room_Type 1,80,2018,3,Online,80.33,Not Canceled
2,2,Meal Plan 1,Room_Type 1,7,2018,8,Online,140.0,Canceled
3,2,Meal Plan 1,Room_Type 1,128,2017,8,Online,76.5,Not Canceled
2,3,Meal Plan 1,Room_Type 1,100,2018,5,Online,105.3,Not Canceled
2,3,Meal Plan 1,Room_Type 1,118,2018,4,Online,87.3,Canceled
1,3,Meal Plan 1,Room_Type 1,166,2018,11,Online,110.0,Canceled
1,1,Meal Plan 2,Room_Type 1,41,2017,9,Offline,83.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,174,2018,8,Online,99.45,Not Canceled
3,3,Meal Plan 2,Room_Type 1,27,2017,12,Offline,104.5,Not Canceled
2,8,Meal Plan 1,Room_Type 1,2,2018,11,Online,92.54,Not Canceled
1,3,Meal Plan 1,Room_Type 1,37,2018,10,Offline,95.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,188,2018,6,Online,130.0,Canceled
2,3,Meal Plan 1,Room_Type 1,68,2018,1,Offline,63.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,189,2018,10,Online,109.8,Canceled
2,1,Meal Plan 1,Room_Type 1,10,2018,5,Online,103.0,Not Canceled
3,3,Meal Plan 1,Room_Type 4,19,2018,2,Online,130.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,61,2018,3,Online,117.0,Canceled
2,4,Meal Plan 1,Room_Type 4,95,2017,12,Offline,60.5,Not Canceled
2,1,Meal Plan 2,Room_Type 1,83,2017,9,Offline,112.2,Not Canceled
2,4,Meal Plan 1,Room_Type 1,37,2018,8,Online,135.9,Canceled
2,1,Meal Plan 1,Room_Type 1,19,2018,7,Online,151.0,Canceled
4,2,Meal Plan 1,Room_Type 6,22,2018,9,Online,239.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,22,2017,12,Online,59.09,Not Canceled
2,7,Meal Plan 1,Room_Type 1,151,2018,7,Online,103.09,Canceled
2,3,Meal Plan 1,Room_Type 1,26,2018,2,Offline,87.0,Not Canceled
3,1,Meal Plan 1,Room_Type 4,27,2018,4,Online,137.0,Canceled
2,2,Meal Plan 2,Room_Type 1,79,2018,6,Offline,109.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,247,2018,6,Online,115.0,Canceled
2,5,Meal Plan 1,Room_Type 4,189,2018,7,Online,99.45,Not Canceled
2,2,Meal Plan 2,Room_Type 1,320,2018,8,Online,115.0,Canceled
3,3,Meal Plan 1,Room_Type 4,27,2018,2,Online,130.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,51,2018,5,Corporate,65.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,245,2018,6,Online,75.0,Canceled
3,3,Meal Plan 1,Room_Type 1,52,2018,7,Online,132.9,Canceled
1,2,Meal Plan 1,Room_Type 1,13,2017,10,Online,120.0,Not Canceled
2,2,Not Selected,Room_Type 1,46,2018,11,Online,79.2,Canceled
3,3,Meal Plan 1,Room_Type 4,84,2018,8,Online,159.3,Canceled
1,2,Meal Plan 1,Room_Type 1,188,2018,6,Online,130.0,Canceled
2,3,Meal Plan 1,Room_Type 1,19,2017,10,Offline,90.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,67,2018,5,Online,140.4,Not Canceled
2,1,Meal Plan 1,Room_Type 1,0,2017,8,Online,75.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,273,2017,7,Online,109.0,Canceled
2,3,Meal Plan 2,Room_Type 1,110,2017,7,Online,94.5,Canceled
1,1,Meal Plan 1,Room_Type 1,0,2017,12,Corporate,75.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,32,2017,10,Offline,75.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,282,2017,10,Offline,76.67,Not Canceled
2,4,Meal Plan 1,Room_Type 1,38,2018,10,Online,126.0,Not Canceled
2,2,Not Selected,Room_Type 1,175,2018,7,Online,85.5,Not Canceled
2,3,Meal Plan 1,Room_Type 4,143,2018,8,Online,140.7,Canceled
