category,rating,reviews,size,installs,type,price,content_for,last_updated,year
art_and_design,4.0,591,9.4,500000,Free,0.0,Everyone,2018-03-31,2018
art_and_design,4.2,117,15.0,10000,Free,0.0,Everyone,2018-07-20,2018
art_and_design,4.5,176,10.0,100000,Free,0.0,Everyone,2018-04-02,2018
art_and_design,4.4,295221,,10000000,Free,0.0,Everyone,2018-07-30,2018
art_and_design,3.8,2206,1.2,100000,Free,0.0,Everyone,2018-04-15,2018
art_and_design,4.2,26,12.0,10000,Free,0.0,Everyone,2018-01-03,2018
art_and_design,4.7,174531,24.0,10000000,Free,0.0,Everyone,2018-07-31,2018
art_and_design,4.6,1070,26.0,100000,Free,0.0,Everyone,2017-11-14,2017
art_and_design,4.2,85,8.0,100000,Free,0.0,Everyone,2017-12-17,2017
art_and_design,4.3,845,7.9,100000,Free,0.0,Everyone,2018-05-28,2018
auto_and_vehicles,4.2,367,25.0,100000,Free,0.0,Everyone,2018-05-10,2018
auto_and_vehicles,4.0,1598,56.0,1000000,Free,0.0,Everyone,2018-07-26,2018
auto_and_vehicles,3.8,284,57.0,100000,Free,0.0,Everyone,2018-07-26,2018
auto_and_vehicles,4.6,17057,,1000000,Free,0.0,Everyone,2018-07-30,2018
auto_and_vehicles,3.9,129,35.0,100000,Free,0.0,Everyone,2018-07-26,2018
auto_and_vehicles,4.3,542,33.0,100000,Free,0.0,Everyone,2018-07-31,2018
auto_and_vehicles,4.9,10479,33.0,100000,Free,0.0,Everyone,2018-07-18,2018
auto_and_vehicles,4.4,805,5.6,50000,Free,0.0,Everyone,2018-07-29,2018
auto_and_vehicles,4.2,129,54.0,100000,Free,0.0,Everyone,2018-07-26,2018
auto_and_vehicles,4.0,1403,201.0,100000,Free,0.0,Everyone,2014-08-26,2014
auto_and_vehicles,3.9,3971,3.6,100000,Free,0.0,Everyone,2018-07-30,2018
auto_and_vehicles,4.6,534,5.7,10000,Free,0.0,Everyone,2018-07-08,2018
auto_and_vehicles,4.9,7774,17.0,100000,Free,0.0,Everyone,2018-07-03,2018
auto_and_vehicles,4.3,38846,8.6,1000000,Free,0.0,Everyone,2018-07-28,2018
auto_and_vehicles,4.6,2431,2.4,100000,Free,0.0,Everyone,2018-06-12,2018
auto_and_vehicles,4.9,6090,27.0,100000,Free,0.0,Everyone,2018-07-03,2018
auto_and_vehicles,3.9,295,2.7,10000,Free,0.0,Everyone,2018-07-30,2018
auto_and_vehicles,4.0,190,2.5,50000,Free,0.0,Everyone,2016-10-14,2016
auto_and_vehicles,4.3,40211,,5000000,Free,0.0,Everyone,2018-07-30,2018
auto_and_vehicles,3.9,356,,100000,Free,0.0,Everyone,2018-05-25,2018
auto_and_vehicles,4.2,52530,7.0,5000000,Free,0.0,Everyone,2018-07-16,2018
auto_and_vehicles,4.8,116986,35.0,5000000,Free,0.0,Everyone,2018-08-02,2018
auto_and_vehicles,3.6,1379,16.0,500000,Free,0.0,Everyone,2018-08-02,2018
auto_and_vehicles,4.2,271920,16.0,10000000,Free,0.0,Teen,2018-07-11,2018
auto_and_vehicles,4.8,736,,100000,Free,0.0,Everyone,2018-07-29,2018
auto_and_vehicles,4.8,7021,17.0,500000,Free,0.0,Everyone,2018-07-27,2018
auto_and_vehicles,4.6,197,3.4,50000,Free,0.0,Everyone,2018-06-14,2018
auto_and_vehicles,4.5,737,8.9,100000,Free,0.0,Everyone,2018-06-08,2018
auto_and_vehicles,4.3,3574,3.9,1000000,Free,0.0,Everyone 10+,2018-07-04,2018
auto_and_vehicles,4.5,994,2.9,100000,Free,0.0,Everyone,2018-03-27,2018
auto_and_vehicles,4.9,197136,38.0,1000000,Free,0.0,Everyone,2018-07-15,2018
auto_and_vehicles,3.9,142,32.0,50000,Free,0.0,Everyone,2018-07-24,2018
auto_and_vehicles,4.4,15168,37.0,1000000,Free,0.0,Everyone,2018-07-27,2018
auto_and_vehicles,4.0,2155,15.0,500000,Free,0.0,Everyone,2018-07-30,2018
auto_and_vehicles,4.3,138,5.4,100000,Free,0.0,Everyone,2018-07-23,2018
auto_and_vehicles,3.7,5414,18.0,1000000,Free,0.0,Everyone,2018-07-23,2018
auto_and_vehicles,4.4,21777,,1000000,Free,0.0,Everyone,2018-08-04,2018
auto_and_vehicles,4.3,348,38.0,100000,Free,0.0,Everyone,2018-07-29,2018
auto_and_vehicles,3.2,250,1.1,100000,Free,0.0,Everyone,2018-04-27,2018
auto_and_vehicles,4.6,13372,,1000000,Free,0.0,Everyone,2018-08-03,2018
auto_and_vehicles,4.6,7880,,100000,Free,0.0,Everyone,2018-05-10,2018
auto_and_vehicles,4.5,3617,7.9,100000,Free,0.0,Everyone,2018-05-16,2018
auto_and_vehicles,3.7,4806,35.0,1000000,Free,0.0,Everyone,2018-07-31,2018
auto_and_vehicles,4.6,65786,,1000000,Free,0.0,Everyone,2018-08-02,2018
auto_and_vehicles,4.6,31433,17.0,1000000,Free,0.0,Everyone,2018-08-02,2018
auto_and_vehicles,4.6,5097,19.0,1000000,Free,0.0,Everyone,2018-07-23,2018
auto_and_vehicles,4.0,1754,14.0,500000,Free,0.0,Everyone,2018-06-02,2018
auto_and_vehicles,4.4,2680,2.2,500000,Free,0.0,Everyone,2018-03-20,2018
auto_and_vehicles,4.0,1288,4.5,100000,Free,0.0,Everyone,2018-04-21,2018
beauty,4.7,18900,17.0,500000,Free,0.0,Everyone,2018-08-02,2018
beauty,4.9,49790,14.0,1000000,Free,0.0,Everyone,2017-11-09,2017
beauty,4.7,1150,9.8,100000,Free,0.0,Everyone,2018-05-15,2018
beauty,3.9,1739,21.0,500000,Free,0.0,Everyone,2018-07-12,2018
beauty,3.9,32090,,1000000,Free,0.0,Everyone,2016-10-24,2016
beauty,4.2,2225,52.0,500000,Free,0.0,Everyone,2018-02-28,2018
beauty,4.6,4369,14.0,100000,Free,0.0,Everyone,2018-07-25,2018
beauty,4.3,8572,25.0,1000000,Free,0.0,Everyone,2018-05-10,2018
beauty,4.7,964,9.0,50000,Free,0.0,Everyone,2018-06-21,2018
beauty,4.7,42050,,1000000,Free,0.0,Everyone,2018-06-05,2018
beauty,4.8,104,12.0,10000,Free,0.0,Everyone,2018-06-26,2018
beauty,4.2,17934,,1000000,Free,0.0,Everyone,2017-09-12,2017
beauty,4.3,601,35.0,100000,Free,0.0,Everyone,2018-06-02,2018
beauty,4.5,36,6.7,10000,Free,0.0,Everyone,2018-07-26,2018
beauty,4.1,187,30.0,50000,Free,0.0,Teen,2018-07-24,2018
beauty,,182,5.7,100000,Free,0.0,Everyone 10+,2017-09-20,2017
beauty,4.2,30,2.9,10000,Free,0.0,Everyone,2018-04-09,2018
beauty,4.5,134,17.0,10000,Free,0.0,Everyone,2018-03-01,2018
beauty,4.4,74,2.9,10000,Free,0.0,Everyone,2018-04-05,2018
beauty,4.0,113715,,10000000,Free,0.0,Everyone,2017-08-03,2017
beauty,4.1,3595,,500000,Free,0.0,Everyone,2018-05-24,2018
beauty,4.1,9315,2.6,1000000,Free,0.0,Everyone,2017-11-21,2017
beauty,4.4,75,4.2,50000,Free,0.0,Everyone,2017-10-18,2017
beauty,4.6,38,7.1,10000,Free,0.0,Everyone,2018-05-29,2018
beauty,4.5,26834,57.0,1000000,Free,0.0,Everyone,2018-07-24,2018
beauty,,119,3.7,50000,Free,0.0,Everyone,2018-07-23,2018
beauty,3.9,2277,22.0,500000,Free,0.0,Everyone,2018-07-12,2018
beauty,4.4,2280,24.0,500000,Free,0.0,Everyone,2018-05-14,2018
beauty,,654,7.4,100000,Free,0.0,Teen,2018-07-17,2018
beauty,4.6,184,21.0,10000,Free,0.0,Everyone,2018-07-02,2018
beauty,3.8,9,3.4,5000,Free,0.0,Everyone,2018-06-07,2018
beauty,,77,2.9,10000,Free,0.0,Mature 17+,2017-08-08,2017
beauty,,35,3.1,10000,Free,0.0,Everyone 10+,2017-12-11,2017
beauty,4.0,364,6.4,100000,Free,0.0,Everyone,2018-05-24,2018
beauty,4.3,18,3.2,5000,Free,0.0,Everyone,2018-06-01,2018
beauty,4.5,473,8.2,100000,Free,0.0,Mature 17+,2017-03-01,2017
beauty,,30,9.9,10000,Free,0.0,Mature 17+,2018-01-24,2018
beauty,4.1,66,2.9,10000,Free,0.0,Everyone,2018-04-05,2018
beauty,3.7,3871,23.0,1000000,Free,0.0,Everyone,2018-07-30,2018
beauty,4.7,257,4.6,50000,Free,0.0,Everyone,2017-08-07,2017
beauty,4.2,62,3.1,10000,Free,0.0,Everyone,2018-05-28,2018
books_and_reference,4.6,2914724,,100000000,Free,0.0,Teen,2018-08-01,2018
books_and_reference,4.5,1857,4.9,50000,Free,0.0,Everyone,2018-08-03,2018
books_and_reference,4.6,4478,9.5,100000,Free,0.0,Everyone 10+,2017-07-31,2017
books_and_reference,4.4,577550,,10000000,Free,0.0,Everyone,2018-08-02,2018
books_and_reference,4.2,814080,,100000000,Free,0.0,Teen,2018-07-27,2018
books_and_reference,4.5,246315,,10000000,Free,0.0,Everyone,2015-07-17,2015
books_and_reference,4.5,454060,,10000000,Free,0.0,Everyone,2018-05-18,2018
books_and_reference,4.5,155446,,10000000,Free,0.0,Teen,2018-04-25,2018
books_and_reference,4.5,418,4.2,100000,Free,0.0,Everyone,2018-03-27,2018
books_and_reference,4.4,22486,5.4,1000000,Free,0.0,Teen,2018-06-06,2018
books_and_reference,4.5,203130,,10000000,Free,0.0,Everyone,2018-06-28,2018
books_and_reference,4.6,1435,2.8,500000,Free,0.0,Everyone,2018-01-21,2018
books_and_reference,4.8,116507,5.0,1000000,Free,0.0,Teen,2018-08-01,2018
books_and_reference,3.9,1433233,,1000000000,Free,0.0,Teen,2018-08-03,2018
books_and_reference,4.6,90468,5.9,5000000,Free,0.0,Everyone,2018-05-27,2018
books_and_reference,4.2,860,13.0,100000,Free,0.0,Everyone,2018-07-17,2018
books_and_reference,4.1,363934,7.1,10000000,Free,0.0,Everyone,2018-07-11,2018
books_and_reference,4.7,967,6.7,500000,Free,0.0,Everyone,2018-08-04,2018
books_and_reference,4.2,87873,,10000000,Free,0.0,Teen,2018-05-28,2018
books_and_reference,4.3,17506,17.0,1000000,Free,0.0,Everyone,2018-07-20,2018
books_and_reference,3.3,1862,19.0,1000000,Free,0.0,Everyone,2018-04-27,2018
books_and_reference,4.6,2084,6.7,500000,Free,0.0,Everyone,2018-05-17,2018
books_and_reference,4.8,47303,21.0,1000000,Free,0.0,Everyone,2018-06-02,2018
books_and_reference,4.7,19080,,500000,Free,0.0,Everyone,2018-04-25,2018
books_and_reference,,161,2.7,10000,Free,0.0,Everyone,2018-07-13,2018
books_and_reference,4.1,85842,37.0,5000000,Free,0.0,Everyone,2018-06-25,2018
books_and_reference,4.6,7831,15.0,100000,Free,0.0,Teen,2018-07-04,2018
books_and_reference,4.1,91615,23.0,5000000,Free,0.0,Mature 17+,2018-06-29,2018
books_and_reference,4.6,4620,19.0,500000,Free,0.0,Everyone,2017-11-23,2017
books_and_reference,4.7,21336,23.0,1000000,Free,0.0,Everyone,2018-06-20,2018
books_and_reference,4.5,26875,73.0,500000,Free,0.0,Everyone,2018-08-01,2018
books_and_reference,3.9,1778,4.9,500000,Free,0.0,Mature 17+,2014-10-16,2014
books_and_reference,4.4,2709,6.8,1000000,Free,0.0,Everyone,2018-07-11,2018
books_and_reference,4.3,64513,,5000000,Free,0.0,Everyone,2018-07-31,2018
books_and_reference,4.2,8342,,10000000,Free,0.0,Everyone,2017-08-28,2017
books_and_reference,4.5,527,2.9,100000,Free,0.0,Everyone,2018-03-31,2018
books_and_reference,4.4,1322,3.5,100000,Free,0.0,Everyone,2018-05-28,2018
books_and_reference,3.4,1680,4.0,100000,Free,0.0,Everyone,2016-08-20,2016
books_and_reference,4.9,2739,21.0,50000,Free,0.0,Everyone,2018-07-17,2018
books_and_reference,4.6,1065,2.3,500000,Free,0.0,Everyone,2018-06-16,2018
books_and_reference,4.4,233757,,10000000,Free,0.0,Everyone,2018-05-01,2018
books_and_reference,,2,7.2,50000,Free,0.0,Everyone,2018-06-15,2018
books_and_reference,4.4,8788,10.0,1000000,Free,0.0,Everyone,2018-07-28,2018
books_and_reference,4.4,51269,6.1,1000000,Free,0.0,Everyone,2018-07-19,2018
books_and_reference,4.4,30105,2.1,1000000,Free,0.0,Everyone,2018-07-29,2018
books_and_reference,3.5,156,42.0,500000,Free,0.0,Everyone,2018-02-15,2018
books_and_reference,,114,7.3,100000,Free,0.0,Everyone,2015-08-07,2015
books_and_reference,4.4,341157,30.0,10000000,Free,0.0,Everyone 10+,2018-03-20,2018
business,4.1,16129,,10000000,Free,0.0,Everyone,2018-07-30,2018
business,4.3,674730,,50000000,Free,0.0,Everyone,2018-05-21,2018
business,4.4,1254730,,10000000,Free,0.0,Everyone,2018-08-03,2018
business,4.3,85185,29.0,5000000,Free,0.0,Everyone,2018-07-17,2018
business,4.3,32584,,1000000,Free,0.0,Everyone,2018-05-04,2018
business,4.1,217730,,50000000,Free,0.0,Everyone,2018-04-02,2018
business,4.4,70991,,5000000,Free,0.0,Everyone,2018-07-24,2018
business,4.3,1002861,35.0,100000000,Free,0.0,Everyone,2018-08-02,2018
business,3.9,16589,9.1,1000000,Free,0.0,Everyone,2018-06-14,2018
business,4.8,148945,25.0,1000000,Free,0.0,Everyone,2018-07-19,2018
business,4.5,4458,3.9,500000,Free,0.0,Everyone,2018-07-08,2018
business,4.4,62272,18.0,10000000,Free,0.0,Everyone,2018-06-26,2018
business,4.0,8941,12.0,5000000,Free,0.0,Everyone,2018-07-31,2018
business,4.3,46353,21.0,1000000,Free,0.0,Everyone,2016-04-13,2016
business,4.0,1279184,,50000000,Free,0.0,Everyone,2018-08-02,2018
business,4.2,88073,,10000000,Free,0.0,Everyone,2018-07-09,2018
business,4.5,67000,,1000000,Free,0.0,Everyone,2018-07-17,2018
business,4.2,159872,,10000000,Free,0.0,Everyone,2018-07-31,2018
business,4.2,30847,55.0,5000000,Free,0.0,Everyone,2018-02-08,2018
business,4.6,188841,3.2,5000000,Free,0.0,Everyone,2018-06-21,2018
business,4.1,11622,,5000000,Free,0.0,Everyone,2018-07-26,2018
business,4.6,95912,,5000000,Free,0.0,Everyone,2018-07-30,2018
business,3.1,4034,23.0,100000,Free,0.0,Everyone,2015-09-11,2015
business,3.9,45964,16.0,1000000,Free,0.0,Everyone,2018-07-18,2018
business,4.3,14955,,1000000,Free,0.0,Everyone,2018-07-30,2018
business,4.1,6903,14.0,1000000,Free,0.0,Everyone,2018-07-10,2018
business,4.4,31614,37.0,10000000,Free,0.0,Everyone,2018-07-20,2018
business,4.1,23055,,5000000,Free,0.0,Everyone,2018-06-08,2018
business,4.1,19023,,1000000,Free,0.0,Everyone,2018-08-01,2018
business,4.5,207372,11.0,5000000,Free,0.0,Everyone,2018-08-02,2018
business,4.4,1225,25.0,100000,Free,0.0,Everyone,2018-08-01,2018
business,4.4,380837,7.3,10000000,Free,0.0,Everyone,2018-07-04,2018
business,4.3,10600,6.5,1000000,Free,0.0,Everyone,2018-08-01,2018
business,4.4,74359,25.0,1000000,Free,0.0,Everyone,2018-07-27,2018
business,4.6,822,3.1,100000,Free,0.0,Everyone,2018-06-08,2018
business,4.2,80805,,5000000,Free,0.0,Everyone,2018-02-26,2018
business,4.4,2287,1.5,1000000,Free,0.0,Everyone,2018-03-26,2018
business,4.7,4162,7.5,100000,Free,0.0,Everyone,2018-07-24,2018
business,3.8,14760,8.6,50000000,Free,0.0,Everyone,2018-01-31,2018
business,3.9,23243,,5000000,Free,0.0,Everyone,2018-06-25,2018
business,,9,1.2,100000,Free,0.0,Everyone,2018-04-09,2018
business,4.3,8978,,1000000,Free,0.0,Everyone,2018-07-25,2018
business,4.2,80805,,5000000,Free,0.0,Everyone,2018-02-26,2018
business,4.4,42492,,1000000,Free,0.0,Everyone,2018-07-11,2018
business,4.7,286897,39.0,10000000,Free,0.0,Everyone,2017-05-30,2017
business,4.5,103755,14.0,10000000,Free,0.0,Everyone,2018-07-11,2018
business,4.2,46505,19.0,1000000,Free,0.0,Everyone,2018-08-02,2018
business,4.7,11442,6.8,100000,Paid,4.99,Everyone,2018-03-25,2018
business,4.8,10295,39.0,100000,Paid,4.99,Everyone,2017-04-11,2017
business,4.2,159872,,10000000,Free,0.0,Everyone,2018-07-31,2018
business,4.2,296,14.0,50000,Free,0.0,Everyone,2018-06-15,2018
business,4.3,29313,20.0,5000000,Free,0.0,Everyone,2018-07-30,2018
business,4.4,70991,,5000000,Free,0.0,Everyone,2018-07-24,2018
business,4.4,51507,,5000000,Free,0.0,Everyone,2018-08-02,2018
business,4.1,1802,26.0,100000,Free,0.0,Everyone,2018-04-18,2018
business,3.8,1383,51.0,100000,Free,0.0,Everyone,2018-07-12,2018
business,4.3,23175,41.0,1000000,Free,0.0,Everyone,2018-07-13,2018
business,3.8,5868,20.0,500000,Free,0.0,Everyone,2018-07-03,2018
business,3.5,2111,,100000,Free,0.0,Everyone,2018-07-30,2018
business,4.1,5448,12.0,500000,Free,0.0,Everyone,2018-07-25,2018
business,4.6,4159,48.0,500000,Free,0.0,Everyone,2018-07-20,2018
business,4.3,20815,10.0,1000000,Free,0.0,Everyone,2018-07-26,2018
business,4.5,78662,22.0,1000000,Free,0.0,Everyone,2018-02-13,2018
business,4.1,7149,11.0,1000000,Free,0.0,Everyone,2018-07-31,2018
business,4.5,3079,8.5,100000,Free,0.0,Everyone,2018-08-02,2018
business,4.6,5800,8.6,100000,Free,0.0,Everyone,2018-08-02,2018
business,4.0,6989,,1000000,Free,0.0,Everyone,2018-07-16,2018
business,4.2,16422,28.0,1000000,Free,0.0,Everyone,2018-08-01,2018
business,4.4,108741,28.0,10000000,Free,0.0,Everyone,2018-07-20,2018
business,4.4,31614,37.0,10000000,Free,0.0,Everyone,2018-07-20,2018
business,4.0,624,9.0,100000,Free,0.0,Everyone,2018-03-22,2018
business,4.2,1661,46.0,100000,Free,0.0,Everyone,2018-08-02,2018
business,4.2,97702,,5000000,Free,0.0,Everyone,2018-07-11,2018
business,4.1,308,14.0,50000,Free,0.0,Everyone,2018-05-29,2018
business,4.0,6989,,1000000,Free,0.0,Everyone,2018-07-16,2018
business,3.8,5211,26.0,1000000,Free,0.0,Everyone,2018-07-30,2018
business,3.9,1058,23.0,500000,Free,0.0,Everyone,2018-06-29,2018
business,3.9,78172,,10000000,Free,0.0,Everyone,2018-08-02,2018
business,4.2,159872,,10000000,Free,0.0,Everyone,2018-07-31,2018
business,4.2,296,14.0,50000,Free,0.0,Everyone,2018-06-15,2018
business,4.3,29313,20.0,5000000,Free,0.0,Everyone,2018-07-30,2018
business,4.4,70991,,5000000,Free,0.0,Everyone,2018-07-24,2018
business,4.4,51507,,5000000,Free,0.0,Everyone,2018-08-02,2018
business,4.1,1802,26.0,100000,Free,0.0,Everyone,2018-04-18,2018
business,3.8,1383,51.0,100000,Free,0.0,Everyone,2018-07-12,2018
business,4.3,23175,41.0,1000000,Free,0.0,Everyone,2018-07-13,2018
business,3.8,5868,20.0,500000,Free,0.0,Everyone,2018-07-03,2018
business,3.5,2111,,100000,Free,0.0,Everyone,2018-07-30,2018
business,4.1,5448,12.0,500000,Free,0.0,Everyone,2018-07-25,2018
business,4.6,4159,48.0,500000,Free,0.0,Everyone,2018-07-20,2018
business,4.3,20815,10.0,1000000,Free,0.0,Everyone,2018-07-26,2018
business,4.5,78662,22.0,1000000,Free,0.0,Everyone,2018-02-13,2018
business,4.1,7149,11.0,1000000,Free,0.0,Everyone,2018-07-31,2018
business,4.5,3079,8.5,100000,Free,0.0,Everyone,2018-08-02,2018
business,4.6,5800,8.6,100000,Free,0.0,Everyone,2018-08-02,2018
business,4.0,6989,,1000000,Free,0.0,Everyone,2018-07-16,2018
business,4.2,16422,28.0,1000000,Free,0.0,Everyone,2018-08-01,2018
business,4.3,8978,,1000000,Free,0.0,Everyone,2018-07-25,2018
business,4.2,80804,,5000000,Free,0.0,Everyone,2018-02-26,2018
business,4.4,42492,,1000000,Free,0.0,Everyone,2018-07-11,2018
business,4.7,286897,39.0,10000000,Free,0.0,Everyone,2017-05-30,2017
business,4.5,103755,14.0,10000000,Free,0.0,Everyone,2018-07-11,2018
business,4.2,46505,19.0,1000000,Free,0.0,Everyone,2018-08-02,2018
business,4.7,11442,6.8,100000,Paid,4.99,Everyone,2018-03-25,2018
business,4.8,10295,39.0,100000,Paid,4.99,Everyone,2017-04-11,2017
business,4.1,217730,,50000000,Free,0.0,Everyone,2018-04-02,2018
business,4.3,1002859,35.0,100000000,Free,0.0,Everyone,2018-08-02,2018
business,4.4,51510,,5000000,Free,0.0,Everyone,2018-08-02,2018
business,4.5,413,29.0,10000,Free,0.0,Everyone,2018-07-25,2018
business,4.3,23175,41.0,1000000,Free,0.0,Everyone,2018-07-13,2018
comics,4.5,1013635,,10000000,Free,0.0,Teen,2018-07-31,2018
comics,4.6,24005,4.9,500000,Free,0.0,Adults only 18+,2018-07-04,2018
comics,4.7,57106,27.0,1000000,Free,0.0,Teen,2018-07-23,2018
comics,4.7,2249,32.0,500000,Free,0.0,Everyone,2017-11-16,2017
comics,4.8,516,12.0,50000,Free,0.0,Everyone,2018-08-03,2018
comics,3.9,834,15.0,50000,Free,0.0,Mature 17+,2018-08-01,2018
comics,4.1,1010,11.0,50000,Free,0.0,Mature 17+,2018-07-07,2018
comics,4.4,238970,28.0,1000000,Free,0.0,Teen,2018-07-09,2018
comics,4.6,302,2.2,10000,Free,0.0,Teen,2018-07-03,2018
comics,4.5,438,3.4,10000,Free,0.0,Everyone,2017-12-27,2017
comics,4.7,73,8.3,10000,Free,0.0,Everyone,2018-07-23,2018
comics,4.4,39,4.3,10000,Free,0.0,Everyone 10+,2018-07-03,2018
comics,4.5,144,4.7,10000,Free,0.0,Everyone,2018-07-19,2018
comics,3.9,2181,10.0,100000,Free,0.0,Teen,2018-03-05,2018
comics,3.2,93965,15.0,5000000,Free,0.0,Teen,2018-07-03,2018
comics,3.2,1446,7.1,100000,Free,0.0,Mature 17+,2018-05-18,2018
comics,4.1,12088,21.0,1000000,Free,0.0,Mature 17+,2018-07-06,2018
comics,4.5,314,6.1,100000,Free,0.0,Everyone,2018-05-23,2018
comics,4.2,25671,,1000000,Free,0.0,Teen,2018-06-05,2018
comics,4.2,15194,15.0,1000000,Free,0.0,Teen,2018-07-19,2018
comics,3.7,22551,11.0,1000000,Free,0.0,Teen,2018-07-24,2018
comics,4.5,29839,29.0,1000000,Free,0.0,Teen,2018-07-31,2018
comics,4.6,279,3.3,100000,Free,0.0,Everyone,2017-12-18,2017
comics,4.5,564387,,5000000,Free,0.0,Everyone,2018-07-05,2018
comics,,1330,22.0,50000,Free,0.0,Everyone,2018-07-03,2018
comics,4.7,1677,40.0,100000,Free,0.0,Everyone,2018-05-26,2018
comics,4.4,757,10.0,10000,Free,0.0,Teen,2018-05-24,2018
comics,3.5,115,9.1,10000,Free,0.0,Mature 17+,2018-07-13,2018
comics,3.3,125,4.7,5000,Free,0.0,Teen,2018-07-24,2018
comics,4.5,9952,38.0,500000,Free,0.0,Everyone 10+,2018-07-31,2018
comics,4.4,18814,,1000000,Free,0.0,Mature 17+,2018-07-30,2018
comics,4.2,21,6.7,5000,Free,0.0,Everyone,2018-03-31,2018
comics,5.0,15,37.0,1000,Free,0.0,Everyone,2018-06-26,2018
comics,4.4,51981,,5000000,Free,0.0,Everyone,2018-08-01,2018
comics,4.7,3596,7.8,10000,Free,0.0,Teen,2018-06-16,2018
comics,4.4,1006,19.0,50000,Free,0.0,Everyone,2018-08-03,2018
comics,4.4,5968,5.7,1000000,Free,0.0,Everyone,2018-05-28,2018
comics,4.6,4895,35.0,100000,Free,0.0,Everyone,2018-08-02,2018
communication,4.0,56642847,,1000000000,Free,0.0,Everyone,2018-08-01,2018
communication,4.4,69119316,,1000000000,Free,0.0,Everyone,2018-08-03,2018
communication,4.3,125257,17.0,10000000,Free,0.0,Teen,2018-06-06,2018
communication,4.3,9642995,,1000000000,Free,0.0,Everyone,2018-08-01,2018
communication,4.4,1429035,,100000000,Free,0.0,Everyone,2018-07-25,2018
communication,4.3,4604324,,1000000000,Free,0.0,Everyone,2018-08-02,2018
communication,4.0,3419249,,1000000000,Free,0.0,Everyone,2018-07-21,2018
communication,4.3,11334799,,500000000,Free,0.0,Everyone,2018-07-18,2018
communication,4.3,158679,8.8,5000000,Free,0.0,Everyone,2018-08-03,2018
communication,4.4,3075028,,100000000,Free,0.0,Everyone,2018-07-10,2018
